date;direction;internal;calls_count;duration_per_call;total_duration_per_call
2019-10-31 21:00:00;out;False;7;116,57142857142857;126,71428571428571
2019-10-31 21:00:00;out;False;9;109,88888888888889;123,77777777777777
2019-10-31 21:00:00;in;False;4;65,75;75,0
2019-10-31 21:00:00;in;False;7;128,57142857142858;136,28571428571428
2019-10-31 21:00:00;out;False;3;0,0;16,666666666666668
2019-11-04 21:00:00;in;False;4;254,75;261,75
2019-11-04 21:00:00;out;False;1;175,0;212,0
2019-11-04 21:00:00;in;False;4;195,5;202,75
2019-11-04 21:00:00;out;False;3;72,66666666666667;85,33333333333333
2019-11-04 21:00:00;out;False;12;216,41666666666666;228,58333333333334
2019-11-04 21:00:00;out;False;9;0,0;17,11111111111111
2019-11-05 21:00:00;out;False;4;0,0;25,25
2019-11-05 21:00:00;out;False;6;0,0;14,0
2019-11-05 21:00:00;out;False;7;75,42857142857143;91,0
2019-11-05 21:00:00;out;False;9;92,33333333333333;100,44444444444444
2019-11-05 21:00:00;in;False;1;52,0;71,0
2019-11-05 21:00:00;in;False;2;88,5;95,0
2019-11-05 21:00:00;in;False;1;223,0;231,0
2019-11-06 21:00:00;out;False;4;0,0;36,75
2019-11-06 21:00:00;in;False;7;219,28571428571428;225,42857142857142
2019-11-06 21:00:00;out;False;6;153,16666666666666;171,5
2019-11-06 21:00:00;out;False;9;54,44444444444444;68,44444444444444
2019-11-06 21:00:00;out;False;11;0,0;11,090909090909092
2019-11-06 21:00:00;in;False;6;314,0;320,3333333333333
2019-11-07 21:00:00;out;False;15;128,06666666666666;139,86666666666667
2019-11-07 21:00:00;out;False;5;0,0;24,2
2019-11-07 21:00:00;out;False;3;0,0;49,666666666666664
2019-11-07 21:00:00;out;False;5;127,0;139,2
2019-11-07 21:00:00;in;False;10;123,3;129,2
2019-11-07 21:00:00;in;False;5;233,8;243,2
2019-11-08 21:00:00;in;False;1;553,0;584,0
2019-11-10 21:00:00;in;False;1;1,0;5,0
2019-11-10 21:00:00;out;False;6;0,0;32,5
2019-11-10 21:00:00;in;False;9;132,55555555555554;137,44444444444446
2019-11-10 21:00:00;out;False;12;93,66666666666667;111,58333333333333
2019-11-10 21:00:00;in;False;7;206,71428571428572;217,28571428571428
2019-11-10 21:00:00;out;False;2;0,0;6,5
2019-11-10 21:00:00;out;False;13;164,3846153846154;174,3846153846154
